accession,organism_name,strain_name,assembly_level,total_16S_copies,unique_16S_copies,degree,ANI_species_ID,ANI_genus_ID,NCBI_taxID
GCF_003709145.1,Streptomyces sp.,Tu 4128,Scaffold,1,1,0,NA,NA,1887
GCF_009834145.1,Streptomyces sp.,HF10,Complete,7,3,1,9,6,1887
GCF_001513965.1,Streptomyces cellostaticus,DSM 40189,Scaffold,1,1,0,NA,NA,67285
GCF_013364155.1,Streptomyces sp.,NA02950,Complete,6,4,0,NA,NA,1887
GCF_001270025.1,Streptomyces azureus,ATCC 14921,Scaffold,1,1,0,NA,NA,146537
GCF_000177175.2,Streptomyces sp.,XylebKG-1,Scaffold,6,4,7,94,75,1887
GCF_018070265.1,Streptomyces sp.,RK23,Contig,1,1,1,178,140,1887
GCF_004193175.1,Streptomyces sp.,RFCAC02,Contig,5,4,0,NA,NA,1887
GCF_016906185.1,Streptomyces californicus,FDAARGOS_1209,Complete,6,3,14,98,78,67351
GCF_016654065.1,Streptomyces sp.,MBT59,Scaffold,1,1,16,10,7,1887
GCF_000718955.1,Streptomyces sp.,NRRL S-575,Contig,1,1,7,127,103,1887
GCF_001270675.1,Streptomyces griseus,NRRL B-2929,Contig,1,1,13,98,78,1886
GCF_014650815.1,Streptomyces flavofungini,JCM 4753,Scaffold,1,1,0,NA,NA,68200
GCF_007113405.2,Streptomyces sp.,RLB1-8,Complete,6,1,13,233,185,1887
GCF_004524875.1,Streptomyces sp.,S501,Complete,6,6,18,74,61,1887
GCF_008124975.1,Streptomyces coelicolor,A3(2) R4-mCherry-17,Scaffold,1,1,12,26,19,1902
GCF_900221035.1,Streptomyces sp.,2323.1,Chromosome,6,2,4,219,173,1887
GCF_002982015.1,Streptomyces sp.,ST5x,Scaffold,1,1,0,NA,NA,1887
GCF_001905365.1,Streptomyces sp.,CB02488,Scaffold,1,1,1,224,178,1887
GCF_003665095.1,Streptomyces sp.,Z26,Contig,6,2,0,NA,NA,1887
GCF_003355155.1,Streptomyces armeniacus,ATCC 15676,Chromosome,1,1,0,NA,NA,83291
GCF_000297635.1,Streptomyces sp.,AA0539,Contig,1,1,0,NA,NA,1887
GCF_009865135.1,Streptomyces sp.,SID8374,Contig,6,2,37,80,60,1887
GCF_004125275.1,Streptomyces lydicus,SW_ACT1,Contig,7,2,3,2,2,47763
GCF_002910905.1,Streptomyces sp.,SM11,Scaffold,1,1,0,NA,NA,1887
GCF_000719915.1,Streptomyces sp.,NRRL F-2890,Contig,1,1,0,NA,NA,1887
GCF_014493765.1,Streptomyces sp.,TRM66268-LWL,Contig,2,2,0,NA,NA,1887
GCF_002803085.1,Streptomyces sp.,CB01201,Scaffold,1,1,0,NA,NA,1887
GCF_000719475.1,Streptomyces sp.,NRRL F-5630,Contig,1,1,0,NA,NA,1887
GCF_018614155.1,Streptomyces sp.,SL-44,Scaffold,1,1,0,NA,NA,1887
GCF_008634025.1,Streptomyces albofaciens,ATCC 23873,Contig,7,5,0,NA,NA,66866
GCF_000331185.2,Streptomyces rimosus,ATCC 10970,Complete,7,3,9,229,182,1927
GCF_009863045.1,Streptomyces sp.,SID4948,Contig,1,1,1,197,155,1887
GCF_008704655.1,Streptomyces rimosus,ATCC 10970,Complete,7,4,9,229,182,1927
GCF_000816465.3,Streptomyces pluripotens,MUSC 137,Complete,6,3,2,214,168,1355015
GCF_001514195.1,Streptomyces griseorubiginosus,DSM 40469,Scaffold,1,1,2,25,18,67304
GCF_000717945.1,Streptomyces sp.,NRRL S-920,Contig,1,1,0,NA,NA,1887
GCF_008642335.1,Streptomyces venezuelae,ATCC 14585,Complete,6,4,0,NA,NA,54571
GCF_013358335.1,Streptomyces lunaelactis,MM22,Contig,1,1,8,55,44,1535768
GCF_902506575.1,Streptomyces mexicanus,Marseille-Q0842,Scaffold,1,1,1,57,46,178566
GCF_014650115.1,Streptomyces olivaceoviridis,JCM 4499,Scaffold,1,1,0,NA,NA,1921
GCF_009811595.1,Streptomyces libani,NBRC 13452,Contig,7,2,3,2,2,68043
GCF_004328625.1,Streptomyces seoulensis,KCTC 9819,Complete,6,3,0,NA,NA,73044
GCF_014649675.1,Streptomyces janthinus,JCM 4387,Scaffold,1,1,0,NA,NA,67308
GCF_003949505.1,Streptomyces sp.,WAC00469,Contig,1,1,1,208,163,1887
GCF_001418175.1,Streptomyces hirsutus,NRRL B-3040,Scaffold,1,1,0,NA,NA,35620
GCF_016860525.1,Streptomyces achromogenes,NBRC 14000,Contig,6,3,0,NA,NA,67255
GCF_004795115.1,Streptomyces sp.,A0592,Contig,1,1,0,NA,NA,1887
GCF_008704995.1,Streptomyces nodosus,ATCC 14899,Complete,6,2,3,148,117,40318
GCF_000716335.1,Streptomyces sp.,NRRL S-118,Scaffold,1,1,0,NA,NA,1887
GCF_013358045.1,Streptomyces lunaelactis,MM103,Contig,1,1,8,109,88,1535768
GCF_008704935.1,Streptomyces vinaceus,ATCC 27476,Complete,7,2,6,53,42,1960
GCF_017639205.1,Streptomyces nojiriensis,JCM 3382,Complete,7,1,12,132,103,66374
GCF_006516935.1,Streptomyces griseorubiginosus,BTU6,Complete,6,3,0,NA,NA,67304
GCF_014205315.1,Streptomyces rapamycinicus,DSM 41530,Contig,6,2,1,43,35,1226757
GCF_003013745.1,Streptomyces sp.,111WW2,Scaffold,1,1,12,26,19,1887
GCF_001279845.1,Streptomyces sp.,XY533,Contig,1,1,22,1,1,1887
GCF_003687515.1,Streptomyces sp.,S5,Contig,1,1,32,107,87,1887
GCF_006539505.1,Streptomyces spinoverrucosus,NBRC 14228,Contig,1,1,0,NA,NA,284043
GCF_012033785.1,Streptomyces bohaiensis,11A07,Scaffold,1,1,0,NA,NA,1431344
GCF_004127445.1,Streptomyces alfalfae,XY25,Contig,6,1,5,147,116,1642299
GCF_018141485.1,Streptomyces alfalfae,XN-04,Chromosome,6,3,5,147,116,1642299
GCF_005280215.1,Streptomyces lasalocidi,X-537,Scaffold,7,2,2,167,131,324833
GCF_009829585.1,Streptomyces tendae,UTMC 3329,Scaffold,1,1,0,NA,NA,1932
GCF_001753425.1,Streptomyces albus,BK3-25,Complete,6,1,2,83,64,1888
GCF_003454755.1,Streptomyces clavuligerus,F1D-5,Complete,6,1,26,33,26,1901
GCF_016741775.1,Streptomyces actinomycinicus,RCU-197,Contig,1,1,0,NA,NA,1695166
GCF_000009765.2,Streptomyces avermitilis,MA-4680,Complete,6,1,5,62,51,33903
GCF_003122365.1,Streptomyces spongiicola,HNM0071,Complete,6,2,0,NA,NA,1690221
GCF_001280885.1,Streptomyces sp.,XY332,Contig,1,1,6,52,42,1887
GCF_015767795.1,Streptomyces clavuligerus,F1D10,Complete,6,2,26,33,26,1901
GCF_007677905.1,Streptomyces incarnatus,DE0205,Scaffold,1,1,0,NA,NA,665007
GCF_009862475.1,Streptomyces sp.,SID4940,Contig,1,1,8,23,17,1887
GCF_003994375.1,Streptomyces lydicus,WYEC 108,Complete,7,2,3,2,2,47763
GCF_000177195.2,Streptomyces sp.,SirexAA-E,Complete,6,2,9,23,17,1887
GCF_015767755.1,Streptomyces clavuligerus,F1D4,Complete,6,2,26,33,26,1901
GCF_011694815.1,Streptomyces sp.,QMT-12,Complete,6,1,0,NA,NA,1887
GCF_000718375.1,Streptomyces sp.,NRRL F-2305,Contig,1,1,1,207,162,1887
GCF_004122735.1,Streptomyces sioyaensis,DSM 40032,Contig,1,1,1,124,102,67364
GCF_001279655.1,Streptomyces sp.,WM6372,Contig,1,1,6,51,42,1887
GCF_001729485.1,Streptomyces lydicus,103,Complete,7,1,5,141,110,47763
GCF_016653995.1,Streptomyces sp.,MBT58,Contig,1,1,9,76,60,1887
GCF_014651015.1,Streptomyces xantholiticus,JCM 4863,Scaffold,1,1,0,NA,NA,68285
GCF_012726235.1,Streptomyces sp.,HNM0574,Contig,1,1,0,NA,NA,1887
GCF_002119225.1,Streptomyces fradiae,DSM 40063,Scaffold,1,1,2,196,154,1906
GCF_001419765.1,Streptomyces torulosus,NRRL B-3889,Scaffold,1,1,0,NA,NA,68276
GCF_001190165.1,Streptomyces fradiae,olg1-1,Contig,1,1,2,113,92,1906
GCF_000717345.1,Streptomyces lydicus,NRRL ISP-5461,Contig,1,1,0,NA,NA,47763
GCF_002154675.1,Streptomyces reticuliscabiei,NRRL B-24446,Scaffold,1,1,0,NA,NA,146821
GCF_003984785.1,Streptomyces sp.,WAC05374,Scaffold,1,1,0,NA,NA,1887
GCF_016612755.1,Streptomyces sp.,MBT51,Contig,1,1,8,23,17,1887
GCF_003268965.1,Streptomyces avidinii,CG 885,Scaffold,1,1,18,74,61,1895
GCF_001693675.1,Streptomyces clavuligerus,F613-1,Complete,6,1,26,33,26,1901
GCF_015710995.1,Streptomyces gardneri,ATCC 15439,Complete,7,1,2,143,112,66892
GCF_014779715.1,Streptomyces chumphonensis,KK1-2,Contig,1,1,0,NA,NA,1214925
GCF_003248355.1,Streptomyces sp.,AC1-42W,Contig,6,1,1,31,24,1887
GCF_016457305.1,Streptomyces sp.,CRPSP2-6A1,Contig,7,1,13,138,107,1887
GCF_001650215.1,Streptomyces sp.,RTd22,Complete,6,2,0,NA,NA,1887
GCF_003263885.1,Streptomyces badius,SF7B6,Contig,6,3,9,190,149,1941
GCF_014649595.1,Streptomyces griseomycini,JCM 4382,Contig,1,1,0,NA,NA,66895
GCF_900091755.1,Streptomyces sp.,TverLS-915,Contig,1,1,3,183,143,1887
GCF_009862985.1,Streptomyces sp.,SID5464,Scaffold,1,1,3,15,10,1887
GCF_015160855.1,Streptomyces ferrugineus,CCTCC AA2014009,Complete,6,2,0,NA,NA,1413221
GCF_003949695.1,Streptomyces sp.,WAC05858,Contig,1,1,0,NA,NA,1887
GCF_003287915.1,Streptomyces sp.,CC4,Chromosome,1,1,1,89,70,1887
GCF_003634815.1,Streptomyces sp.,3211.6,Contig,7,2,1,171,133,1887
GCF_004195995.1,Streptomyces albidoflavus,CR47,Contig,1,1,32,107,87,1886
GCF_000725725.1,Streptomyces xanthophaeus,NRRL B-3004,Scaffold,1,1,7,129,103,67385
GCF_001592685.1,Streptomyces sp.,WAC04657,Contig,6,5,5,27,20,1887
GCF_000720115.1,Streptomyces sp.,NRRL F-2580,Contig,1,1,7,128,103,1887
GCF_013421635.1,Streptomyces sp.,UH6,Contig,1,1,1,231,183,1887
GCF_001866665.1,Streptomyces monashensis,MUSC 1,Contig,1,1,0,NA,NA,1678012
GCF_001905005.1,Streptomyces sp.,CB02923,Scaffold,1,1,0,NA,NA,1887
GCF_900187385.1,Streptomyces sp.,2114.4,Contig,7,2,5,17,11,1887
GCF_002920635.1,Streptomyces sp.,Ru72,Contig,1,1,1,90,71,1887
GCF_013423905.1,Streptomyces sp.,NEAU-sy36,Complete,6,1,3,227,180,1887
GCF_000715745.1,Streptomyces californicus,NRRL B-3320,Scaffold,1,1,13,98,78,67351
GCF_000721945.1,Streptomyces sp.,NRRL WC-3774,Scaffold,1,1,1,121,99,1887
GCF_000717805.1,Streptomyces sp.,NRRL WC-3702,Contig,1,1,0,NA,NA,1887
GCF_003963535.1,Streptomyces cyaneochromogenes,MK-45,Complete,6,1,0,NA,NA,2496836
GCF_000935185.3,Streptomyces albulus,CK-15,Complete,7,2,3,21,15,1971
GCF_002705975.1,Streptomyces sp.,AmelKG-E11A,Scaffold,1,1,2,114,93,1887
GCF_009025935.1,Streptomyces sp.,,Chromosome,6,1,1,146,115,1887
GCF_014655085.1,Streptomyces gardneri,JCM 4375,Contig,1,1,2,143,112,66892
GCF_014191845.1,Streptomyces violarus,CECT 3237,Scaffold,1,1,1,42,34,67380
GCF_018101125.2,Streptomyces sp.,P38-E01,Scaffold,5,1,0,NA,NA,1887
GCF_014207295.1,Streptomyces sp.,AK010,Scaffold,1,1,0,NA,NA,1887
GCF_005795905.1,Streptomyces marianii,CN19,Contig,6,1,0,NA,NA,1817406
GCF_017356985.1,Streptomyces griseocarneus,KCC S-1010,Chromosome,7,2,2,30,23,51201
GCF_013357925.1,Streptomyces lunaelactis,MMun143,Contig,1,1,8,109,88,1535768
GCF_016905445.1,Streptomyces sp.,G44,Scaffold,1,1,0,NA,NA,1887
GCF_000719955.1,Streptomyces albidoflavus,NRRL B-1271,Contig,1,1,0,NA,NA,1886
GCF_007679425.1,Streptomyces incarnatus,DE0106,Scaffold,1,1,1,9,6,665007
GCF_016804005.1,Streptomyces pratensis,S10,Complete,6,2,0,NA,NA,591167
GCF_001983975.1,Streptomyces autolyticus,CGMCC0516,Complete,6,4,5,175,137,75293
GCF_013870535.1,Streptomyces sp.,PIP175,Contig,1,1,0,NA,NA,1887
GCF_016919245.1,Streptomyces zhihengii,YIM T102,Scaffold,6,1,0,NA,NA,1818004
GCF_003950055.1,Streptomyces sp.,KPB2,Complete,6,3,4,64,53,1887
GCF_002009175.1,Streptomyces niveus,SCSIO 3406,Complete,6,2,0,NA,NA,193462
GCF_000972395.1,Streptomyces sp.,WM6391,Scaffold,1,1,12,26,19,1887
GCF_018070745.1,Streptomyces sp.,C3-3,Scaffold,1,1,20,73,60,1887
GCF_000725805.1,Streptomyces xanthophaeus,NRRL B-5414,Scaffold,1,1,12,129,103,67385
GCF_002591335.1,Streptomyces malaysiensis,DSM 4137,Complete,6,6,6,175,137,92644
GCF_002154375.1,Streptomyces glaucescens,NRRL B-2706,Scaffold,1,1,0,NA,NA,1907
GCF_014873495.1,Streptomyces stelliscabiei,DSM 41803,Contig,6,1,2,120,98,146820
GCF_004798565.1,Streptomyces sp.,Akac8,Contig,1,1,3,92,73,1887
GCF_000709915.1,Streptomyces griseorubens,JSD-1,Scaffold,6,4,0,NA,NA,66897
GCF_003173275.1,Streptomyces sp.,NEAU-S7GS2,Complete,7,4,6,2,2,1887
GCF_000718945.1,Streptomyces sp.,NRRL S-813,Contig,1,1,0,NA,NA,1887
GCF_003675955.1,Streptomyces rapamycinicus,NRRL 5491,Contig,7,3,1,43,35,1226757
GCF_008386495.1,Streptomyces tailanensis,TRM68348,Scaffold,1,1,0,NA,NA,2569858
GCF_001660045.1,Streptomyces parvulus,2297,Complete,6,6,0,NA,NA,146923
GCF_006539185.1,Streptomyces gardneri,NBRC 12865,Contig,1,1,2,143,112,66892
GCF_000718915.1,Streptomyces sp.,NRRL WC-3540,Contig,1,1,13,98,78,1887
GCF_002156145.1,Streptomyces sp.,NRRL B-24572,Scaffold,1,1,0,NA,NA,1887
GCF_001542625.1,Streptomyces griseochromogenes,ATCC 14511,Complete,6,1,1,86,67,68214
GCF_015708605.1,Streptomyces clavuligerus,ATCC 27064,Complete,6,2,26,33,26,1901
GCF_001514055.1,Streptomyces corchorusii,DSM 40340,Scaffold,1,1,3,18,12,1903
GCF_000717915.1,Streptomyces sp.,NRRL S-244,Contig,1,1,0,NA,NA,1887
GCF_014649895.1,Streptomyces rubiginosus,JCM 4416,Scaffold,1,1,0,NA,NA,1929
GCF_001447075.1,Streptomyces hygroscopicus,KCTC 1717,Complete,6,5,3,18,12,1912
GCF_007113465.1,Streptomyces sp.,S1A1-3,Chromosome,6,3,15,233,185,1887
GCF_009832925.1,Streptomyces sp.,Tu 2975,Complete,6,2,0,NA,NA,1887
GCF_002237655.1,Streptomyces sp.,XY006,Contig,1,1,0,NA,NA,1887
GCF_006715395.1,Streptomyces sp.,SLBN-31,Contig,6,3,0,NA,NA,1887
GCF_000717015.1,Streptomyces brasiliensis,NRRL B-1626,Contig,1,1,0,NA,NA,1954
GCF_001279855.1,Streptomyces sp.,XY58,Contig,1,1,22,1,1,1887
GCF_013167895.1,Streptomyces fulvorobeus,NBRC 15897,Contig,6,2,9,81,62,284028
GCF_003945545.1,Streptomyces sp.,WAC 01529,Complete,6,2,0,NA,NA,1887
GCF_013358235.1,Streptomyces lunaelactis,MM78,Contig,1,1,8,55,44,1535768
GCF_900091715.1,Streptomyces sp.,DpondAA-F4a,Contig,1,1,8,23,17,1887
GCF_002573955.1,Streptomyces sp.,Ru87,Contig,1,1,1,97,77,1887
GCF_007896895.1,Streptomyces misionensis,66,Scaffold,6,1,3,227,180,67331
GCF_012273535.1,Streptomyces sp.,RLB1-33,Complete,6,3,6,233,185,1887
GCF_001509775.1,Streptomyces violaceusniger,NRRL F-8817,Contig,1,1,2,49,41,68280
GCF_015767855.1,Streptomyces clavuligerus,F1D18,Complete,6,2,26,33,26,1901
GCF_003610255.1,Streptomyces sp.,TLI_171,Contig,9,3,0,NA,NA,1887
GCF_009862245.1,Streptomyces sp.,SID7816,Contig,6,1,7,94,75,1887
GCF_016432685.1,Streptomyces sp.,4(2020),Contig,6,4,5,205,161,1887
GCF_001700505.1,Streptomyces mutomycini,NRRL B-65393,Scaffold,1,1,3,169,132,284036
GCF_017948495.1,Streptomyces sp.,GESEQ-13,Contig,1,1,3,92,73,1887
GCF_009865365.1,Streptomyces sp.,SID4912,Scaffold,1,1,9,215,169,1887
GCF_000717665.1,Streptomyces californicus,NRRL 2423,Contig,1,1,0,NA,NA,67351
GCF_002128305.1,Streptomyces sp.,SCSIO 03032,Complete,5,1,0,NA,NA,1887
GCF_001005295.1,Streptomyces yangpuensis,d2-tb,Scaffold,1,1,2,157,124,1648182
GCF_001550225.1,Streptomyces scabiei,95-18,Contig,6,1,15,185,145,1930
GCF_000720135.1,Streptomyces sp.,NRRL S-1022,Contig,1,1,0,NA,NA,1887
GCF_013363585.1,Streptomyces sp.,CAI-78,Contig,1,1,8,119,97,1887
GCF_003675325.1,Streptomyces sp.,Z022,Complete,6,3,0,NA,NA,1887
GCF_009862345.1,Streptomyces sp.,SID7817,Contig,7,2,32,107,87,1887
GCF_002891295.1,Streptomyces eurocidicus,ATCC 27428,Contig,2,1,2,191,150,66423
GCF_016741825.1,Streptomyces sp.,CH9-7,Contig,1,1,0,NA,NA,1887
GCF_003675345.1,Streptomyces albus,ZD11,Complete,6,4,2,83,64,1888
GCF_002155915.1,Streptomyces thermovulgaris,NRRL B-12375,Scaffold,1,1,0,NA,NA,1934
GCF_000719195.1,Streptomyces californicus,NRRL B-2895,Contig,1,1,0,NA,NA,67351
GCF_002154505.1,Streptomyces carpinensis,NRRL B-16921,Scaffold,1,1,0,NA,NA,66369
GCF_003129505.1,Streptomyces sp.,V2,Contig,1,1,2,87,68,1887
GCF_018614195.1,Streptomyces sp.,SL-43,Scaffold,1,1,0,NA,NA,1887
GCF_009834125.1,Streptomyces sp.,GS7,Complete,7,2,0,NA,NA,1887
GCF_001905505.1,Streptomyces sp.,CB02058,Scaffold,1,1,4,179,141,1887
GCF_006335115.1,Streptomyces sp.,NP160,Scaffold,1,1,0,NA,NA,1887
GCF_001611795.1,Streptomyces qaidamensis,S10,Complete,6,2,0,NA,NA,1783515
GCF_002289335.1,Streptomyces albidoflavus,132,Contig,1,1,2,226,179,1886
GCF_004124325.1,Streptomyces sp.,L2,Contig,6,2,0,NA,NA,1887
GCF_016467295.1,Streptomyces costaricanus,Am1,Complete,7,2,13,138,107,33900
GCF_000382745.1,Streptomyces sp.,DvalAA-83,Contig,1,1,1,115,94,1887
GCF_005981965.1,Streptomyces chryseus,DSM 40431,Contig,1,1,1,116,95,68186
GCF_014649915.1,Streptomyces toxytricini,JCM 4421,Scaffold,1,1,1,144,113,67369
GCF_014648195.1,Streptomyces purpureus,JCM 3172,Scaffold,1,1,1,192,151,1951
GCF_016757295.1,Streptomyces sp.,M2CJ-2,Scaffold,1,1,0,NA,NA,1887
GCF_000718695.1,Streptomyces californicus,NRRL ISP-5083,Contig,1,1,0,NA,NA,67351
GCF_900207595.1,Streptomyces microflavus,CG 893,Scaffold,1,1,18,74,61,1919
GCF_000716685.1,Streptomyces virginiae,NRRL B-8091,Contig,1,1,0,NA,NA,1961
GCF_003330845.1,Streptomyces sp.,Go-475,Complete,6,3,0,NA,NA,1887
GCF_002939475.1,Streptomyces cinnamoneus,DSM 41675,Contig,7,5,0,NA,NA,53446
GCF_016598575.1,Streptomyces sp.,HSG2,Complete,6,2,0,NA,NA,1887
GCF_017969025.1,Streptomyces sp.,LBUM 1481,Contig,6,5,15,185,145,1887
GCF_001969965.1,Streptomyces sparsogenes,DSM 40356,Contig,1,1,1,36,28,67365
GCF_010550245.1,Streptomyces sp.,SID12501,Contig,1,1,1,35,27,1887
GCF_000720795.1,Streptomyces sp.,NRRL S-515,Contig,1,1,7,127,103,1887
GCF_900105415.1,Streptomyces sp.,TLI_105,Contig,7,3,0,NA,NA,1887
GCF_013358135.1,Streptomyces lunaelactis,MM28,Contig,1,1,8,55,44,1535768
GCF_016906265.1,Streptomyces californicus,FDAARGOS_1210,Complete,6,2,14,98,78,67351
GCF_003721215.1,Streptomyces sp.,NEAU-LD23,Scaffold,1,1,0,NA,NA,1887
GCF_018070535.1,Streptomyces sp.,B94,Scaffold,1,1,1,222,176,1887
GCF_001426325.1,Streptomyces sp.,Root1295,Scaffold,1,1,18,73,60,1887
GCF_000414115.1,Streptomyces aurantiacus,JA 4570,Contig,1,1,0,NA,NA,47760
GCF_009862355.1,Streptomyces sp.,SID7834,Contig,1,1,18,74,61,1887
GCF_900091995.1,Streptomyces sp.,MnatMP-M17,Contig,1,1,0,NA,NA,1887
GCF_003635085.1,Streptomyces sp.,1114.5,Contig,11,6,1,32,25,1887
GCF_018035285.1,Streptomyces sp.,MK37H,Contig,1,1,0,NA,NA,1887
GCF_002188345.1,Streptomyces sp.,CS057,Scaffold,10,1,18,73,60,1887
GCF_014621695.1,Streptomyces sp.,CRXT-Y-14,Complete,7,4,0,NA,NA,1887
GCF_019067045.1,Streptomyces sp.,NK08203,Contig,1,1,32,107,87,1887
GCF_004195845.1,Streptomyces albidoflavus,CGMCC 4.1681,Contig,1,1,32,107,87,1886
GCF_003949895.1,Streptomyces sp.,WAC04770,Contig,1,1,13,14,9,1887
GCF_002843305.1,Streptomyces barkulensis,RC 1831,Scaffold,3,1,0,NA,NA,1257026
GCF_017676385.1,Streptomyces sp.,DW4-2,Contig,1,1,0,NA,NA,1887
GCF_014655295.1,Streptomyces fumanus,JCM 4477,Scaffold,1,1,0,NA,NA,67302
GCF_001553475.1,Streptomyces hygroscopicus,NBRC 12859,Contig,1,1,5,102,82,1912
GCF_008125035.1,Streptomyces coelicolor,A3(2) R4-mCherry-18,Scaffold,1,1,12,26,19,1902
GCF_014197485.1,Streptomyces cinereoruber,NRRL ISP-5012,Scaffold,1,1,5,27,20,67260
GCF_900079405.2,Streptomyces sp.,,Scaffold,1,1,3,227,180,1887
GCF_017315755.1,Streptomyces beijiangensis,DSM 41794,Scaffold,1,1,0,NA,NA,163361
GCF_016612575.1,Streptomyces sp.,MBT67,Contig,1,1,16,10,7,1887
GCF_900091905.1,Streptomyces sp.,OspMP-M43,Scaffold,1,1,7,94,75,1887
GCF_000718315.1,Streptomyces griseofuscus,NRRL B-5429,Contig,1,1,0,NA,NA,146922
GCF_015601545.1,Streptomyces albidoflavus,W68,Complete,7,1,8,119,97,1886
GCF_018619155.1,Streptomyces sp.,McG8,Contig,1,1,3,92,73,1887
GCF_900215595.1,Streptomyces sp.,1222.2,Contig,6,1,2,120,98,1887
GCF_013364315.1,Streptomyces fulvissimus,NA06532,Complete,6,1,9,76,60,1919
GCF_017876625.1,Streptomyces syringium,DSM 41480,Contig,7,2,1,40,32,76729
GCF_004000405.1,Streptomyces sp.,B27,Contig,1,1,13,14,9,1887
GCF_001984445.1,Streptomyces lydicus,GS93,Complete,7,2,5,141,110,47763
GCF_000717215.1,Streptomyces vinaceus,NRRL ISP-5257,Contig,1,1,0,NA,NA,1960
GCF_000716025.1,Streptomyces baarnensis,NRRL B-2842,Scaffold,1,1,4,112,91,66872
GCF_014648795.1,Streptomyces cinnamonensis,JCM 4019,Scaffold,1,1,22,1,1,1961
GCF_014654895.1,Streptomyces filamentosus,JCM 4122,Contig,8,2,1,103,83,67294
GCF_014650535.1,Streptomyces galbus,JCM 4639,Scaffold,1,1,0,NA,NA,33898
GCF_013693715.1,Streptomyces albidoflavus,J1074/R2,Complete,7,3,32,107,87,1886
GCF_013363465.1,Streptomyces odorifer,KAI-180,Contig,1,1,8,119,97,53450
GCF_006974005.1,Streptomyces malaysiensis,DSM 4137,Complete,6,6,3,175,137,92644
GCF_009600895.1,Streptomyces katsurahamanus,T-272,Scaffold,1,1,0,NA,NA,2577098
GCF_014656075.1,Streptomyces hydrogenans,JCM 4771,Scaffold,1,1,0,NA,NA,1873719
GCF_900091765.1,Streptomyces sp.,PalvLS-984,Contig,1,1,9,215,169,1887
GCF_009865465.1,Streptomyces sp.,SID1,Contig,6,2,9,23,17,1887
GCF_002910915.1,Streptomyces sp.,SM10,Scaffold,12,1,0,NA,NA,1887
GCF_013358025.1,Streptomyces lunaelactis,MM113,Contig,1,1,8,109,88,1535768
GCF_001646665.1,Streptomyces albulus,B-3066,Scaffold,1,1,0,NA,NA,1971
GCF_003428925.1,Streptomyces koyangensis,VK-A60T,Complete,7,5,2,187,146,188770
GCF_000721365.1,Streptomyces sp.,NRRL F-5650,Contig,1,1,0,NA,NA,1887
GCF_008931305.1,Streptomyces coelicolor,CFB_NBC_0001,Complete,6,3,12,26,19,1902
GCF_001279005.1,Streptomyces caelestis,NRRL B-24567,Contig,1,1,1,207,162,36816
GCF_014203475.1,Streptomyces spectabilis,CECT 3146,Scaffold,1,1,2,82,63,68270
GCF_003369795.1,Streptomyces sp.,CB09001,Complete,6,1,0,NA,NA,1887
GCF_001282115.1,Streptomyces sp.,NRRL B-24085,Contig,1,1,1,139,108,1887
GCF_007097205.2,Streptomyces alkaliterrae,OF1,Contig,1,1,0,NA,NA,2213162
GCF_013363475.1,Streptomyces sp.,KAI-26,Contig,1,1,13,14,9,1887
GCF_002910815.1,Streptomyces sp.,FM008,Scaffold,7,1,0,NA,NA,1887
GCF_009735685.1,Streptomyces sp.,TRM 66187,Scaffold,1,1,1,97,77,1887
GCF_008642315.1,Streptomyces venezuelae,ATCC 14584,Complete,6,1,0,NA,NA,54571
GCF_008704555.1,Streptomyces nitrosporeus,ATCC 12769,Complete,6,1,1,13,8,28894
GCF_003932715.1,Streptomyces tsukubensis,NRRL 18488,Complete,6,1,3,8,5,83656
GCF_000367365.1,Streptomyces prunicolor,NBRC 13075,Contig,1,1,0,NA,NA,67348
GCF_018070605.1,Streptomyces sp.,B15,Scaffold,1,1,0,NA,NA,1887
GCF_000725555.1,Streptomyces erythrochromogenes,NRRL B-2112,Scaffold,1,1,2,156,124,285574
GCF_004196035.1,Streptomyces albidoflavus,CR19,Contig,1,1,32,107,87,1886
GCF_008974245.1,Streptomyces abyssomicinicus,CHI39,Scaffold,1,1,0,NA,NA,574929
GCF_007113665.2,Streptomyces sp.,S1D4-14,Complete,6,2,15,233,185,1887
GCF_015767915.1,Streptomyces clavuligerus,F1D35,Complete,6,2,26,33,26,1901
GCF_001577385.1,Streptomyces albidoflavus,SM254,Complete,7,2,37,107,87,1886
GCF_005938145.1,Streptomyces sp.,DASNCL29,Contig,6,1,0,NA,NA,1887
GCF_014905555.1,Streptomyces sp.,Y2F8-2,Contig,1,1,1,90,71,1887
GCF_011170125.1,Streptomyces diastaticus,NBRC 13412,Contig,7,3,7,108,87,1956
GCF_013358245.1,Streptomyces lunaelactis,MM83,Contig,1,1,8,55,44,1535768
GCF_016654115.1,Streptomyces sp.,MBT53,Contig,1,1,1,137,106,1887
GCF_017942185.1,Streptomyces rhizosphaericus,DSM 41760,Contig,6,2,3,110,89,114699
GCF_016906205.1,Streptomyces californicus,FDAARGOS_1212,Complete,6,2,14,98,78,67351
GCF_000239075.1,Streptomyces sp.,W007,Contig,1,1,20,73,60,1887
GCF_001418645.1,Streptomyces neyagawaensis,NRRL B-3092,Scaffold,1,1,0,NA,NA,42238
GCF_013358115.1,Streptomyces lunaelactis,MM29,Contig,1,1,8,55,44,1535768
