,run_id,genome1,genome2,unique_taxa_names,coverage,identity,comparision_type_species,comparision_type_genus,cluster_hash,cluster_id
1,83.0,"Streptomyces olivaceus strain KLBMP 5084 chromosome, complete genome:265","Streptomyces olivaceus strain NRRL B-3009 contig1.1, whole genome shotgun sequence:264",2,0.9129995868,0.9875790211,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
2,83.0,"Streptomyces sp. VN1 chromosome, complete genome:266","Streptomyces olivaceus strain NRRL B-3009 contig1.1, whole genome shotgun sequence:264",2,0.9232117231,0.9874357856,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
3,83.0,"Streptomyces olivaceus strain SCSIO T05 chromosome, complete genome:267","Streptomyces olivaceus strain NRRL B-3009 contig1.1, whole genome shotgun sequence:264",2,0.8922014577,0.9786589143,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
4,83.0,"Streptomyces olivaceus strain NRRL B-3009 contig1.1, whole genome shotgun sequence:264","Streptomyces olivaceus strain KLBMP 5084 chromosome, complete genome:265",2,0.8700178184,0.9875790211,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
6,83.0,"Streptomyces sp. VN1 chromosome, complete genome:266","Streptomyces olivaceus strain KLBMP 5084 chromosome, complete genome:265",2,0.9062264624,0.9930485886,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
7,83.0,"Streptomyces olivaceus strain SCSIO T05 chromosome, complete genome:267","Streptomyces olivaceus strain KLBMP 5084 chromosome, complete genome:265",2,0.8667361468,0.9786835235,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
8,83.0,"Streptomyces olivaceus strain NRRL B-3009 contig1.1, whole genome shotgun sequence:264","Streptomyces sp. VN1 chromosome, complete genome:266",2,0.8971116417,0.9874357856,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
9,83.0,"Streptomyces olivaceus strain KLBMP 5084 chromosome, complete genome:265","Streptomyces sp. VN1 chromosome, complete genome:266",2,0.9241114586,0.9930485886,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
11,83.0,"Streptomyces olivaceus strain SCSIO T05 chromosome, complete genome:267","Streptomyces sp. VN1 chromosome, complete genome:266",2,0.8727136440000001,0.9787539321,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
12,83.0,"Streptomyces olivaceus strain NRRL B-3009 contig1.1, whole genome shotgun sequence:264","Streptomyces olivaceus strain SCSIO T05 chromosome, complete genome:267",2,0.8790708765,0.9786589143,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
13,83.0,"Streptomyces olivaceus strain KLBMP 5084 chromosome, complete genome:265","Streptomyces olivaceus strain SCSIO T05 chromosome, complete genome:267",2,0.8961698039,0.9786835235,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
14,83.0,"Streptomyces sp. VN1 chromosome, complete genome:266","Streptomyces olivaceus strain SCSIO T05 chromosome, complete genome:267",2,0.8848864554,0.9787539321,intra,intra,45cbd2d6aa908ec97d7f4cc7006dda06,24
1,84.0,"Streptomyces sp. SID5468 SID5468.c1, whole genome shotgun sequence:202","Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:201",2,1.0,1.0,intra,intra,45fb8cb782f7859dcea77910d5edd90c,25
2,84.0,"Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:268","Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:201",2,1.0071944774,0.9998881497,intra,intra,45fb8cb782f7859dcea77910d5edd90c,25
3,84.0,"Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:201","Streptomyces sp. SID5468 SID5468.c1, whole genome shotgun sequence:202",2,0.7764004758,1.0,intra,intra,45fb8cb782f7859dcea77910d5edd90c,25
5,84.0,"Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:268","Streptomyces sp. SID5468 SID5468.c1, whole genome shotgun sequence:202",2,0.7811642619,0.9999006946,intra,intra,45fb8cb782f7859dcea77910d5edd90c,25
6,84.0,"Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:201","Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:268",2,1.0075631262,0.9998881497,intra,intra,45fb8cb782f7859dcea77910d5edd90c,25
7,84.0,"Streptomyces sp. SID5468 SID5468.c1, whole genome shotgun sequence:202","Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:268",2,1.0065039944,0.9999006946,intra,intra,45fb8cb782f7859dcea77910d5edd90c,25
1,85.0,"Streptomyces sp. 1331.2, whole genome shotgun sequence:69","Streptomyces sp. 1114.5 Ga0151194_11, whole genome shotgun sequence:68",1,0.9545579463,0.9922388573,intra,intra,479423b065b0485881417de6a067e306,49
2,85.0,"Streptomyces sp. 1114.5 Ga0151194_11, whole genome shotgun sequence:68","Streptomyces sp. 1331.2, whole genome shotgun sequence:69",1,0.9616809237,0.9922388573,intra,intra,479423b065b0485881417de6a067e306,49
1,86.0,"Streptomyces lincolnensis strain LC-G chromosome, complete genome:270",Streptomyces lincolnensis strain NRRL 2936 chromosome:269,1,1.0055300617,0.9999391611,intra,intra,4812f1faf8eafd513c97d3e99ab5a3ec,50
2,86.0,"Streptomyces lincolnensis strain B48 chromosome, complete genome:271",Streptomyces lincolnensis strain NRRL 2936 chromosome:269,1,0.950558829,0.9999623717,intra,intra,4812f1faf8eafd513c97d3e99ab5a3ec,50
3,86.0,Streptomyces lincolnensis strain NRRL 2936 chromosome:269,"Streptomyces lincolnensis strain LC-G chromosome, complete genome:270",1,0.9270469948,0.9999391611,intra,intra,4812f1faf8eafd513c97d3e99ab5a3ec,50
5,86.0,"Streptomyces lincolnensis strain B48 chromosome, complete genome:271","Streptomyces lincolnensis strain LC-G chromosome, complete genome:270",1,0.9494931844,0.9999662228,intra,intra,4812f1faf8eafd513c97d3e99ab5a3ec,50
6,86.0,Streptomyces lincolnensis strain NRRL 2936 chromosome:269,"Streptomyces lincolnensis strain B48 chromosome, complete genome:271",1,0.9219944968,0.9999623717,intra,intra,4812f1faf8eafd513c97d3e99ab5a3ec,50
7,86.0,"Streptomyces lincolnensis strain LC-G chromosome, complete genome:270","Streptomyces lincolnensis strain B48 chromosome, complete genome:271",1,0.9989286957,0.9999662228,intra,intra,4812f1faf8eafd513c97d3e99ab5a3ec,50
1,87.0,"Streptomyces sp. SID4928 SID4928.c1, whole genome shotgun sequence:273","Streptomyces sp. ACT-1 strain XylebKG-1 scaffold_1, whole genome shotgun sequence:272",1,1.0,1.0,intra,intra,485817df3afd784789e8c1090d43c412,51
2,87.0,"Streptomyces sp. ACT-1 strain XylebKG-1 scaffold_1, whole genome shotgun sequence:272","Streptomyces sp. SID4928 SID4928.c1, whole genome shotgun sequence:273",1,0.9999973659,1.0,intra,intra,485817df3afd784789e8c1090d43c412,51
1,88.0,"Streptomyces tsukubensis strain AT3 chromosome, complete genome:275","Streptomyces tsukubensis strain F601 Scaffold100_1, whole genome shotgun sequence:274",1,1.0316747317,0.9997549245,intra,intra,4896e9b162055e2d9bc6506aa7050780,52
2,88.0,"Streptomyces tsukubensis strain F601 Scaffold100_1, whole genome shotgun sequence:274","Streptomyces tsukubensis strain AT3 chromosome, complete genome:275",1,1.0474277959,0.9997549245,intra,intra,4896e9b162055e2d9bc6506aa7050780,52
1,89.0,"Streptomyces asiaticus strain DSM 41761 DSM_41761_DNA2_1_1, whole genome shotgun sequence:277","Streptomyces indonesiensis strain DSM 41759 DSM41759-1_1_1, whole genome shotgun sequence:276",2,1.0267886902,0.9984326159,intra,intra,48e170ab56c6209926c3f8d490d4034d,26
2,89.0,"Streptomyces indonesiensis strain DSM 41759 DSM41759-1_1_1, whole genome shotgun sequence:276","Streptomyces asiaticus strain DSM 41761 DSM_41761_DNA2_1_1, whole genome shotgun sequence:277",2,1.0453675388,0.9984326159,intra,intra,48e170ab56c6209926c3f8d490d4034d,26
1,90.0,"Streptomyces violascens strain YIM 100212 chromosome, complete genome:253","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.998936881,0.9988457683,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
2,90.0,"Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9209294169,0.9903352996,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
3,90.0,"Streptomyces albidoflavus, complete sequence:279","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9459840749,0.9917102525,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
4,90.0,"Streptomyces sp. FR-008 chromosome, complete genome:280","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9393247287,0.9885604244,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
5,90.0,"Streptomyces albidoflavus strain SM254 chromosome, complete genome:281","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9433653478,0.9909901906,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
6,90.0,"Streptomyces sampsonii strain KJ40 chromosome, complete genome:282","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9464611826,0.9887033232,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
7,90.0,"Streptomyces sp. SM9 1003_9407_348140, whole genome shotgun sequence:283","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9471356282,0.9901104504,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
8,90.0,"Streptomyces sp. S5 NODE_1000_length_1770_cov_89.3881_ID_88717, whole genome shotgun sequence:284","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.8994169879,0.9889371847,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
9,90.0,"Streptomyces sp. N1 Endophyte_N1_0, whole genome shotgun sequence:285","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9238277955,0.9862558862,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
10,90.0,"Streptomyces albidoflavus strain NBRC 13083 Scaffold10_1, whole genome shotgun sequence:286","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9614342073,0.9921577211,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
11,90.0,"Streptomyces albidoflavus strain CGMCC 4.1681 Scaffold10_1, whole genome shotgun sequence:287","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9383692289,0.9909689667,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
12,90.0,"Streptomyces albidoflavus strain FXJ.2339 Scaffold10_1, whole genome shotgun sequence:288","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.995132452,0.9994650938,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
13,90.0,"Streptomyces albidoflavus strain Ma24 Scaffold10_1, whole genome shotgun sequence:289","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9451178416,0.9887480079,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
14,90.0,"Streptomyces albidoflavus strain CR33 Scaffold10_1, whole genome shotgun sequence:290","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9151876462,0.9866328684,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
15,90.0,"Streptomyces albidoflavus strain CR10 Scaffold10_1, whole genome shotgun sequence:291","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.930359127,0.9862688468,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
16,90.0,"Streptomyces albidoflavus strain CR25 Scaffold10_1, whole genome shotgun sequence:292","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9142644753,0.9866324369,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
17,90.0,"Streptomyces albidoflavus strain Ma1 Scaffold10_1, whole genome shotgun sequence:293","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9069404854,0.9867532268,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
18,90.0,"Streptomyces albidoflavus strain CR47 Scaffold10_1, whole genome shotgun sequence:294","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9292358396,0.9864836127,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
19,90.0,"Streptomyces albidoflavus strain CR19 Scaffold10_1, whole genome shotgun sequence:295","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9238400886,0.9886337558,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
20,90.0,"Streptomyces sp. GF20 chromosome, complete genome:296","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9102562296,0.9887879924,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
21,90.0,"Streptomyces sp. FR-008 Scaffold1, whole genome shotgun sequence:297","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9379125307,0.9884642477,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
22,90.0,"Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9459840749,0.9917102525,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
23,90.0,"Streptomyces sp. SID4934 SID4934.c1, whole genome shotgun sequence:299","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9144719286,0.9885808069,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
24,90.0,"Streptomyces sp. SID4915 SID4915.c1, whole genome shotgun sequence:300","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9507208067,0.9932429352,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
25,90.0,"Streptomyces sp. S-2 utg000001l_segment0_segment0_pilon, whole genome shotgun sequence:301","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9356705835,0.9908760244,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
26,90.0,"Streptomyces sp. CAI-21 NODE_101_length_24701_cov_408.986, whole genome shotgun sequence:302","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.940392908,0.9884105845,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
27,90.0,"Streptomyces sp. CAI-17 NODE_1001_length_938_cov_921.376, whole genome shotgun sequence:303","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.941617166,0.9878149118,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
28,90.0,"Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9322004531,0.9917051684,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
29,90.0,"Streptomyces sp. CBG9 tig00000001, whole genome shotgun sequence:305","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9034037001,0.9887221729,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
30,90.0,"Streptomyces sp. NK08203 1, whole genome shotgun sequence:306","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9435791539,0.9887273316,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
31,90.0,"Streptomyces sp. BvitLS-983, whole genome shotgun sequence:307","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9508787564,0.993238554,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
32,90.0,"Streptomyces sp. ScaeMP-6W, whole genome shotgun sequence:308","Streptomyces sp. SM17 chromosome, complete genome:252",4,0.9144953706,0.9885919823,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
33,90.0,"Streptomyces sp. SM17 chromosome, complete genome:252","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9689543635,0.9988457683,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
35,90.0,"Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9156358014,0.9906725518,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
36,90.0,"Streptomyces albidoflavus, complete sequence:279","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9455568387,0.991713463,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
37,90.0,"Streptomyces sp. FR-008 chromosome, complete genome:280","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9268698356,0.9890586793,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
38,90.0,"Streptomyces albidoflavus strain SM254 chromosome, complete genome:281","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9358529052,0.9911554023,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
39,90.0,"Streptomyces sampsonii strain KJ40 chromosome, complete genome:282","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9389256057,0.9888604555,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
40,90.0,"Streptomyces sp. SM9 1003_9407_348140, whole genome shotgun sequence:283","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9438390661,0.990341686,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
41,90.0,"Streptomyces sp. S5 NODE_1000_length_1770_cov_89.3881_ID_88717, whole genome shotgun sequence:284","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.8884710050000001,0.989164557,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
42,90.0,"Streptomyces sp. N1 Endophyte_N1_0, whole genome shotgun sequence:285","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9208486516,0.9866360327,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
43,90.0,"Streptomyces albidoflavus strain NBRC 13083 Scaffold10_1, whole genome shotgun sequence:286","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.958385358,0.9922496746,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
44,90.0,"Streptomyces albidoflavus strain CGMCC 4.1681 Scaffold10_1, whole genome shotgun sequence:287","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9243883685,0.9911512121,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
45,90.0,"Streptomyces albidoflavus strain FXJ.2339 Scaffold10_1, whole genome shotgun sequence:288","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9771709654,0.9988569119,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
46,90.0,"Streptomyces albidoflavus strain Ma24 Scaffold10_1, whole genome shotgun sequence:289","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9457852149,0.9888484219,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
47,90.0,"Streptomyces albidoflavus strain CR33 Scaffold10_1, whole genome shotgun sequence:290","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9130931328,0.9867327289,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
48,90.0,"Streptomyces albidoflavus strain CR10 Scaffold10_1, whole genome shotgun sequence:291","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9177116566,0.9867203145,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
49,90.0,"Streptomyces albidoflavus strain CR25 Scaffold10_1, whole genome shotgun sequence:292","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9124831369,0.9867113647,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
50,90.0,"Streptomyces albidoflavus strain Ma1 Scaffold10_1, whole genome shotgun sequence:293","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.904256452,0.9868488681,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
51,90.0,"Streptomyces albidoflavus strain CR47 Scaffold10_1, whole genome shotgun sequence:294","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.921736247,0.9868214188,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
52,90.0,"Streptomyces albidoflavus strain CR19 Scaffold10_1, whole genome shotgun sequence:295","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9242905765,0.9885873583,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
53,90.0,"Streptomyces sp. GF20 chromosome, complete genome:296","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9096038003,0.9889847551,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
54,90.0,"Streptomyces sp. FR-008 Scaffold1, whole genome shotgun sequence:297","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9265998504,0.9889798825,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
55,90.0,"Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9455568387,0.991713463,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
56,90.0,"Streptomyces sp. SID4934 SID4934.c1, whole genome shotgun sequence:299","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9136687428,0.9886647647,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
57,90.0,"Streptomyces sp. SID4915 SID4915.c1, whole genome shotgun sequence:300","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9311820355,0.9934102848,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
58,90.0,"Streptomyces sp. S-2 utg000001l_segment0_segment0_pilon, whole genome shotgun sequence:301","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.933746375,0.9909349916,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
59,90.0,"Streptomyces sp. CAI-21 NODE_101_length_24701_cov_408.986, whole genome shotgun sequence:302","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9372681254,0.988449062,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
60,90.0,"Streptomyces sp. CAI-17 NODE_1001_length_938_cov_921.376, whole genome shotgun sequence:303","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9367228454,0.9879186676,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
61,90.0,"Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9317680721,0.9917198686,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
62,90.0,"Streptomyces sp. CBG9 tig00000001, whole genome shotgun sequence:305","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9012333349,0.9889045028,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
63,90.0,"Streptomyces sp. NK08203 1, whole genome shotgun sequence:306","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9396921267,0.988851284,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
64,90.0,"Streptomyces sp. BvitLS-983, whole genome shotgun sequence:307","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9313157763,0.9934042273,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
65,90.0,"Streptomyces sp. ScaeMP-6W, whole genome shotgun sequence:308","Streptomyces violascens strain YIM 100212 chromosome, complete genome:253",4,0.9137742072,0.9886653224,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
66,90.0,"Streptomyces sp. SM17 chromosome, complete genome:252","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9164782475,0.9903352996,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
67,90.0,"Streptomyces violascens strain YIM 100212 chromosome, complete genome:253","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9394059485,0.9906725518,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
69,90.0,"Streptomyces albidoflavus, complete sequence:279","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9338314491,0.9903879309,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
70,90.0,"Streptomyces sp. FR-008 chromosome, complete genome:280","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9045493192,0.9884243502,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
71,90.0,"Streptomyces albidoflavus strain SM254 chromosome, complete genome:281","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9195857083,0.9902778222,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
72,90.0,"Streptomyces sampsonii strain KJ40 chromosome, complete genome:282","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9417937895,0.9883053846,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
73,90.0,"Streptomyces sp. SM9 1003_9407_348140, whole genome shotgun sequence:283","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9354513831,0.989916819,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
74,90.0,"Streptomyces sp. S5 NODE_1000_length_1770_cov_89.3881_ID_88717, whole genome shotgun sequence:284","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.8848640891,0.9887898367,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
75,90.0,"Streptomyces sp. N1 Endophyte_N1_0, whole genome shotgun sequence:285","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9010121125,0.9856289677,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
76,90.0,"Streptomyces albidoflavus strain NBRC 13083 Scaffold10_1, whole genome shotgun sequence:286","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9331347627,0.990246433,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
77,90.0,"Streptomyces albidoflavus strain CGMCC 4.1681 Scaffold10_1, whole genome shotgun sequence:287","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9186352389,0.9899572194,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
78,90.0,"Streptomyces albidoflavus strain FXJ.2339 Scaffold10_1, whole genome shotgun sequence:288","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9236662803,0.9905358689,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
79,90.0,"Streptomyces albidoflavus strain Ma24 Scaffold10_1, whole genome shotgun sequence:289","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9360217742,0.9883561987,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
80,90.0,"Streptomyces albidoflavus strain CR33 Scaffold10_1, whole genome shotgun sequence:290","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9050786256,0.985965344,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
81,90.0,"Streptomyces albidoflavus strain CR10 Scaffold10_1, whole genome shotgun sequence:291","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9092759109,0.9858856158,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
82,90.0,"Streptomyces albidoflavus strain CR25 Scaffold10_1, whole genome shotgun sequence:292","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.9033168465,0.9859676253,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
83,90.0,"Streptomyces albidoflavus strain Ma1 Scaffold10_1, whole genome shotgun sequence:293","Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278",4,0.8896917049,0.986044689,intra,intra,4a5e503e9e6d1e4eb2150f313e1f6c96,1
